tag,n,use
seen live,934,
rock,763,1
metal,597,1
american,524,2
usa,520,2
alternative,500,1
heavy metal,419,1
indie,404,1
alternative rock,403,1
hard rock,376,1
experimental,315,1
male vocalists,310,3
progressive metal,306,1
pop,296,1
progressive rock,291,1
indie rock,275,1
classic rock,258,1
punk,257,1
80s,256,
folk,251,1
progressive,236,1
electronic,223,1
90s,219,
psychedelic,203,1
singer songwriter,201,1
00s,188,
doom metal,188,1
power metal,186,1
british,181,2
death metal,176,1
uk,169,2
punk rock,165,1
post punk,157,1
70s,156,
hardcore,156,1
united states,152,2
black metal,151,1
melodic metal,148,1
psychedelic rock,148,1
indie pop,145,1
female vocalists,143,3
thrash metal,143,1
favorites,142,
pop rock,138,1
alternative metal,135,1
ambient,135,1
folk rock,131,1
blues,130,1
english,130,2
post rock,128,1
doom,125,1
new wave,124,1
stoner rock,123,1
england,120,2
art rock,119,1
atmospheric,119,1
melodic death metal,118,1
all,115,
speed metal,115,1
acoustic,113,1
symphonic metal,110,1
emo,107,1
10s,104,
americana,100,1
blues rock,100,1
garage rock,98,1
swedish,94,2
california,93,2
electronica,92,1
guitar,91,1
sweden,91,2
country,90,1
avant garde,89,1
alt country,88,1
post hardcore,88,1
epic metal,87,1
female vocalist,87,3
soul,87,1
oldies,84,
grunge,83,1
jazz,83,1
stoner,83,1
experimental rock,80,1
metalcore,80,1
2010s,77,
melancholic,77,
shoegaze,76,1
gothic metal,75,1
awesome,73,
post metal,73,1
gothic,72,
hardcore punk,72,1
rock and roll,72,1
sludge,72,1
60s,70,
stoner metal,70,1
folk metal,69,1
funk,67,1
spotify,67,
lo fi,66,
soft rock,66,1
industrial,65,1
rock n roll,64,1
classic,63,
indie folk,63,1
synthpop,63,1
chillout,62,
hip hop,62,1
instrumental,62,1
swedish metal,62,2
us metal,62,2
dance,61,1
dream pop,60,1
prog,59,1
gothic rock,58,1
sludge metal,58,1
dark,57,
melodic black metal,57,1
under 2000 listeners,57,
epic,55,
pop punk,55,1
canadian,54,2
noise,54,1
noise rock,54,1
traditional metal,54,1
canada,53,2
love,53,
prog rock,53,1
new york,52,2
united kingdom,52,2
liszaj radio,51,
atmospheric black metal,50,1
avant garde metal,50,1
country rock,50,1
post black metal,50,1
female,49,
melancholy,49,
traditional heavy metal,49,1
garage,48,1
thrash,47,1
germany,46,2
mellow,46,
nwothm,46,1
groove metal,45,1
beautiful,44,
britpop,44,
darkwave,44,1
finnish,44,2
genius,44,
german,44,2
progressive death metal,44,1
space rock,44,1
london,43,2
power pop,43,1
female fronted metal,42,3
alternative country,41,1
dark ambient,41,1
finland,41,2
pagan metal,41,1
rap,41,1
traditional doom metal,41,1
glam rock,40,1
goth,40,1
legend,40,
los angeles,40,2
progressive black metal,40,1
80's,39,
atmospheric metal,39,1
electro,39,1
norwegian,39,2
political,39,
art pop,38,1
progressive power metal,37,1
rnb,37,1
screamo,37,1
southern rock,37,1
synth pop,37,1
chill,36,1
male vocalist,36,3
melodic power metal,36,1
norway,36,2
sexy,36,
college rock,35,1
heavy rock,35,1
nu metal,35,1
scandinavian,35,2
viking metal,35,1
australian,34,2
dark metal,34,1
experimental metal,34,1
favorite,34,
us,34,2
death doom metal,33,1
electropop,33,1
soundtrack,33,1
drone,32,1
industrial metal,32,1
melodic hardcore,32,1
