Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5AVDecLFDzXLrsj0QkAcHk,"0vxxsjcDy61x5zvrOqwHIL","The Rhymes of the Mountain","Winter Thrice","Borknagar",2016-01-22,401346,31,spotify:user:1218573018,2023-11-02T15:11:01Z,"black metal,folk black metal,folk metal,norwegian black metal,norwegian metal,progressive black metal,viking black metal,viking metal",0.24,0.926,4,-4.295,0,0.0599,0.0000497,0.00002,0.11,0.272,180.077,3
3Cgb2Pj9jqnEulC1pOzKvd,"7wqP36o9lqWteOCxBnXlwx","The Chainheart Machine","The Chainheart Machine","Soilwork",2000,242160,29,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,groove metal,melodic death metal,melodic groove metal,melodic metalcore,swedish death metal,swedish melodeath,swedish metal",0.325,0.982,11,-6.653,0,0.124,0.0000526,0.582,0.342,0.28,108.938,4
2TFP0WI6XSGyXvZAMbyNdq,"6YXarbjg36ODFPez0PnOlD","Cold","Slaughter of the Soul (Full Dynamic Range Edition)","At The Gates",2014-09-08,207786,23,spotify:user:1218573018,2023-11-02T15:11:01Z,"death metal,gothenburg metal,melodic death metal,metal,swedish death metal,swedish melodeath,swedish metal,thrash metal",0.156,0.952,7,-11.231,1,0.121,0.00000225,0.833,0.664,0.313,180.188,4
7o3BXbATGYz9ZVE4KwrMej,"5Sp7BJWoMgqVFpPlo3nip4","Fortune's a Mistress","Sign Here, Here, and Here","The Company Band",2008-01-04,202373,37,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative roots rock,stoner metal,stoner rock",0.404,0.902,8,-4.43,1,0.0639,0.000159,0.000123,0.123,0.712,166.056,4
7MuCf9NYeg3iY0Jp9yyiB1,"6Y9hT9bBu0ZkpS2FOVvymb","The Bats (Are Hungry Tonight)","Dunsmuir","Dunsmuir",2016-07-22,172773,18,spotify:user:1218573018,2023-11-02T15:11:01Z,"lovecraftian metal",0.384,0.932,4,-4.916,1,0.0524,0.0298,0.000351,0.244,0.632,163.987,4
6gk7RDxtsd0NUAdNLPq1Df,"7j1diUTtFReVVJxSQG3veO","Maddening Disdain","A Celebration Of Guilt","Arsis",2015-05-18,209399,26,spotify:user:1218573018,2023-11-02T15:11:01Z,"american melodeath,brutal death metal,deathgrind,melodic death metal,technical death metal,technical melodic death metal,virginia metal",0.517,0.976,2,-5.799,1,0.0469,0.000051,0.857,0.201,0.329,94.968,4
7fuZ81cDTlDrRoC5KXpQYA,"7j1diUTtFReVVJxSQG3veO","Roses On White Lace","A Diamond For Disease","Arsis",2005,257720,9,spotify:user:1218573018,2023-11-02T15:11:01Z,"american melodeath,brutal death metal,deathgrind,melodic death metal,technical death metal,technical melodic death metal,virginia metal",0.397,0.995,8,-3.599,1,0.102,0.000148,0.121,0.398,0.0611,80.064,4
50f2OP3zv9CAbgTcOUIs5f,"7j1diUTtFReVVJxSQG3veO","A Diamond For Disease","A Diamond For Disease","Arsis",2005,772240,11,spotify:user:1218573018,2023-11-02T15:11:01Z,"american melodeath,brutal death metal,deathgrind,melodic death metal,technical death metal,technical melodic death metal,virginia metal",0.371,0.997,0,-2.601,0,0.122,0.0000234,0.816,0.133,0.0418,121.973,4
429IbFR4yp2J81CeTwF5iY,"3Ayl7mCk0nScecqOzvNp6s","Sweetness","Bleed American","Jimmy Eat World",2001-07-17,220026,71,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,emo,modern power pop,modern rock,neon pop punk,pop punk,pop rock,post-grunge,punk,rock",0.487,0.898,5,-4.436,1,0.038,0.00305,0,0.26,0.597,135.331,4
4CWAJ97gKEuo87DOKhB7kJ,"2pnezMcaiTHfGmgmGQjLsB","Young Man Nihilist","Morning Star","Entombed",2001-05-05,166786,9,spotify:user:1218573018,2023-11-02T15:11:01Z,"black metal,brutal death metal,death 'n' roll,death metal,deathgrind,metal,swedish death metal,swedish metal,technical death metal",0.279,0.987,1,-2.631,1,0.189,0.00000234,0.0123,0.134,0.182,82.823,4
