Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6VWsWgliFma9IFL2NlQ1H7,"5HJ2kX5UTwN4Ns8fB5Rn1I","Check the Lock","Visions of Bodies Being Burned","clipping.",2020-10-23,217322,48,spotify:user:1218573018,2024-01-18T16:15:16Z,"escape room,experimental hip hop,industrial hip hop",0.815,0.69,9,-8.089,1,0.261,0.0964,0.0000474,0.235,0.381,101.004,4
05ZUxHiGT7VR6ShJjhwJxn,"1bwUhKRmEkOZ1wuTnV9XjC","Down the Line","Somersault","Beach Fossils",2017-06-02,158474,67,spotify:user:1218573018,2024-01-18T16:16:14Z,"brooklyn indie,indie garage rock,indie rock,indie surf,popgaze,shoegaze",0.615,0.743,7,-6.569,1,0.041,0.237,0.00431,0.148,0.528,162.22,4
7txxAtOMwLLnQTpKeBL6bp,"34c4iQ5tkaZKu6Sv28BTde","Mother","Danzig","Danzig",1988-01-01,204866,75,spotify:user:1218573018,2024-01-18T16:16:25Z,"alternative metal,groove metal,grunge,hard rock,industrial rock,metal,nu metal,punk",0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,4
25ZH79eefRHT8CUo15UFjo,"34c4iQ5tkaZKu6Sv28BTde","Twist Of Cain","Danzig","Danzig",1988-01-01,258360,55,spotify:user:1218573018,2024-01-18T16:16:37Z,"alternative metal,groove metal,grunge,hard rock,industrial rock,metal,nu metal,punk",0.527,0.664,1,-9.201,0,0.0615,0.00746,0.000611,0.0973,0.357,119.282,4
1cy2MHSJbSwL2Vi2pUqM8x,"2bGK38Qvf603fcckzUYYui","Sinner","Honky Tonks and Cheap Motels","Whitey Morgan and the 78's",2008-09-12,241573,50,spotify:user:1218573018,2024-01-18T16:16:42Z,"classic texas country,modern southern rock,outlaw country",0.565,0.625,7,-3.339,1,0.0255,0.112,0.233,0.0521,0.521,81.983,4
2CEiE2C24ASjqhcyhM3vdq,"5HJ2kX5UTwN4Ns8fB5Rn1I,0wjD83h3ePL2010p593lbV","Body for the Pile","Visions of Bodies Being Burned","clipping.,Sickness",2020-10-23,264616,29,spotify:user:jmcginnis,2024-01-18T16:20:13Z,"escape room,experimental hip hop,industrial hip hop,noise",0.61,0.849,1,-7.337,1,0.518,0.00781,0.000116,0.0574,0.42,85.843,4
5Bkizyd5a3O51xhXpNUohq,"5HJ2kX5UTwN4Ns8fB5Rn1I","Enlacing","Visions of Bodies Being Burned","clipping.",2020-10-23,283477,35,spotify:user:1218573018,2024-01-18T16:22:39Z,"escape room,experimental hip hop,industrial hip hop",0.559,0.553,0,-9.44,0,0.0999,0.0174,0.0000433,0.094,0.0955,130.018,4
7MB9xkZ79XHYx8c6JYjFz6,"2bGK38Qvf603fcckzUYYui","I'm on Fire","Honky Tonks and Cheap Motels","Whitey Morgan and the 78's",2008-09-12,196680,57,spotify:user:cgreene312,2024-01-18T19:09:53Z,"classic texas country,modern southern rock,outlaw country",0.565,0.629,9,-7.282,1,0.0272,0.0943,0.388,0.208,0.346,93.967,4
3dFVdhSdZ88dmGNlTHWC5P,"5a2EaR3hamoenG9rDuVn8j","Head","Dirty Mind","Prince",1980-10-08,285506,37,spotify:user:cgreene312,2024-01-18T19:57:57Z,"funk,funk rock,minneapolis sound,rock,synth funk",0.845,0.486,11,-12.778,0,0.111,0.00713,0.417,0.232,0.692,118.459,4
0kZpg64mTDk3V6jhGGEd7M,"34c4iQ5tkaZKu6Sv28BTde","Am I Demon","Danzig","Danzig",1988-01-01,297293,56,spotify:user:cgreene312,2024-01-18T20:00:36Z,"alternative metal,groove metal,grunge,hard rock,industrial rock,metal,nu metal,punk",0.373,0.924,1,-9.1,0,0.0553,0.00011,0.00776,0.0836,0.347,135.02,4
0IVAlb0cFCH1cQ974iR1TU,"0Mz5XE0kb1GBnbLQm2VbcO","Ms. Fat Booty","Black On Both Sides","Mos Def",1999-10-12,223546,72,spotify:user:1218573018,2024-01-20T14:46:31Z,"conscious hip hop,east coast hip hop,hip hop",0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,4
0QghvdpYqY06nSqvzihd78,"0Mz5XE0kb1GBnbLQm2VbcO","Rock N Roll","Black On Both Sides","Mos Def",1999-10-12,302960,41,spotify:user:1218573018,2024-01-20T14:46:46Z,"conscious hip hop,east coast hip hop,hip hop",0.731,0.846,11,-5.891,1,0.258,0.0895,0,0.577,0.659,96.943,4
2X6qfjDzhKQA7UqhzyJrQP,"450o9jw6AtiQlQkHCdH6Ru","Super Stupid","Maggot Brain","Funkadelic",1971-07-12,237141,46,spotify:user:1218573018,2024-01-20T14:47:02Z,"classic soul,funk,funk rock,p funk,psychedelic soul,soul",0.268,0.943,1,-6.475,0,0.149,0.00154,0.515,0.31,0.202,99.436,4
7pv9Njtvz4Wh38N3W5si4w,"3WPKDlucMsXH6FC1XaclZC","Possessed","Suicidal Tendencies","Suicidal Tendencies",1983,127306,44,spotify:user:1218573018,2024-01-20T14:47:15Z,"alternative metal,california hardcore,crossover thrash,funk metal,hard rock,hardcore punk,metal,nu metal,old school thrash,punk,thrash metal",0.225,0.884,0,-7.49,1,0.0705,0.00316,0,0.0826,0.736,177.649,4
3ODXRUPL44f04cCacwiCLC,"2YZyLoL8N0Wb9xBt1NhZWg","i","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,336013,67,spotify:user:1218573018,2024-01-21T21:02:11Z,"conscious hip hop,hip hop,rap,west coast rap",0.541,0.809,8,-4.286,1,0.324,0.708,0,0.72,0.753,120.094,4
26uHwSHlaK5mskSMhbRod3,"6FxuPrpa8phaP3Xn73emhT","Luckiest Man","Ways Not To Lose","The Wood Brothers",2006-01-01,233666,58,spotify:user:1218573018,2024-01-22T16:29:31Z,"jam band,modern blues,new americana,progressive bluegrass,roots rock,stomp and holler",0.571,0.281,5,-10.56,1,0.0475,0.74,0,0.163,0.294,142.263,4
